Location?,Interaction?,Use?,Completed?,Study ID,Search Term,Authors,Title,SO,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,10,Fundulus heteroclitus,"Fell, PE; Warren, RS; Light, JK; Rawson, RL; Fairley, SM","Comparison of fish and macroinvertebrate use of Typha angustifolia, Phragmites australis, and treated Phragmites marshes along the lower Connecticut River",ESTUARIES,,,26,2B,,,534,551,,10.1007/BF02823729,,,4/3/14,2003,,,,,,,,,21,1,21,0,22,0160-8347,,WOS:000184052700015,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Jivoff, PR; Able, KW","Blue crab, Callinectes sapidus, response to the invasive common reed, Phragmites australis: Abundance, size, sex ratio, and molting frequency",ESTUARIES,,,26,2B,,,587,595,,10.1007/BF02823733,,,4/3/14,2003,,,,,,,,,10,0,8,0,10,0160-8347,,WOS:000184052700019,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Able, KW; Ragan, SM","Impact of common reed, Phragmites australis, on essential fish habitat: Influence on reproduction, embryological development, and larval abundance of mummichog (Fundulus heteroclitus)",ESTUARIES,,,26,1,,,40,50,,10.1007/BF02691692,,,2/3/14,2003,,,,,24th Annual American-Fisheries-Society Conference,"NOV 06-10, 2000",Amer Fisheries Soc,"GULF SHORES, ALABAMA",43,1,35,0,46,0160-8347,,WOS:000181576900005,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Teo, SLH; Able, KW",Growth and production of the mummichog (Fundulus heteroclitus) in a restored salt marsh,ESTUARIES,,,26,1,,,51,63,,10.1007/BF02691693,,,2/3/14,2003,,,,,,,,,20,0,16,0,21,0160-8347,,WOS:000181576900006,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Posey, MH; Alphin, TD; Meyer, DL; Johnson, JM",Benthic communities of common reed Phragmites australis and marsh cordgrass Spartina alterniflora marshes in Chesapeake Bay,MARINE ECOLOGY PROGRESS SERIES,,,261,,,,51,61,,10.3354/meps261051,,,2003,2003,,,,,,,,,21,6,24,0,30,0171-8630,,WOS:000186704400004,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Smith, KJ; Able, KW",Dissolved oxygen dynamics in salt marsh pools and its potential impacts on fish assemblages,MARINE ECOLOGY PROGRESS SERIES,,,258,,,,223,232,,10.3354/meps258223,,,2003,2003,,,,,,,,,28,0,25,1,28,0171-8630,,WOS:000185560800021,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,No,Yes,,Fundulus heteroclitus,"Levin, PS; Ellis, J; Petrik, R; Hay, ME",Indirect effects of feral horses on estuarine communities,CONSERVATION BIOLOGY,,,16,5,,,1364,1371,,10.1046/j.1523-1739.2002.01167.x,,,10/2/14,2002,,,,,,,,,25,0,24,0,27,0888-8892,,WOS:000178183600023,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Warren, RS; Fell, PE; Rozsa, R; Brawley, AH; Orsted, AC; Olson, ET; Swamy, V; Niering, WA",Salt marsh restoration in Connecticut: 20 years of science and management,RESTORATION ECOLOGY,,,10,3,,,497,513,,10.1046/j.1526-100X.2002.01031.x,,,9/2/14,2002,,,,,15th Biennial Meeting of the Estuarine-Research-Federation,"SEP 25-30, 1999",Estuarine Res Federat,"NEW ORLEANS, LOUISIANA",56,1,57,0,62,1061-2971,,WOS:000177383400009,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Seliskar, DM; Gallagher, JL; Burdick, DM; Mutz, LA",The regulation of ecosystem functions by ecotypic variation in the dominant plant: a Spartina alterniflora salt-marsh case study,JOURNAL OF ECOLOGY,,,90,1,,,1,11,,10.1046/j.0022-0477.2001.00632.x,,,2/2/14,2002,,,,,,,,,50,9,53,0,64,0022-0477,,WOS:000174154500001,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,15,Fundulus heteroclitus,"James-Pirri, MJ; Raposa, KB; Catena, JG","Diet composition of mummichogs, Fundulus heteroclitus, from restoring and unrestricted regions of a New England (USA) salt marsh",ESTUARINE COASTAL AND SHELF SCIENCE,,,53,2,,,205,213,,10.1006/ecss.2001.0807,,,8/1/14,2001,,,,,,,,,23,0,21,0,23,0272-7714,,WOS:000171125500008,,,,,,,,,,,,,,,,,,,,,,,,,,
